nodo,hora,pax
LineaA:1070,5,4
LineaA:1070,6,24
LineaA:1070,7,95
LineaA:1070,8,137
LineaA:1070,9,150
LineaA:1070,10,177
LineaA:1070,11,127
LineaA:1070,12,166
LineaA:1070,13,136
LineaA:1070,14,153
LineaA:1070,15,146
LineaA:1070,16,173
LineaA:1070,17,170
LineaA:1070,18,147
LineaA:1070,19,70
LineaA:1070,20,56
LineaA:1070,21,35
LineaA:1070,22,28
LineaA:1070,23,2
LineaA:1071,5,25
LineaA:1071,6,86
LineaA:1071,7,304
LineaA:1071,8,391
LineaA:1071,9,408
LineaA:1071,10,437
LineaA:1071,11,496
LineaA:1071,12,636
LineaA:1071,13,671
LineaA:1071,14,717
LineaA:1071,15,803
LineaA:1071,16,954
LineaA:1071,17,956
LineaA:1071,18,859
LineaA:1071,19,557
LineaA:1071,20,511
LineaA:1071,21,311
LineaA:1071,22,139
LineaA:1071,23,40
LineaA:1072,5,16
LineaA:1072,6,58
LineaA:1072,7,148
LineaA:1072,8,191
LineaA:1072,9,238
LineaA:1072,10,224
LineaA:1072,11,281
LineaA:1072,12,400
LineaA:1072,13,392
LineaA:1072,14,476
LineaA:1072,15,646
LineaA:1072,16,683
LineaA:1072,17,672
LineaA:1072,18,522
LineaA:1072,19,279
LineaA:1072,20,238
LineaA:1072,21,136
LineaA:1072,22,58
LineaA:1072,23,10
LineaA:1073,5,14
LineaA:1073,6,68
LineaA:1073,7,162
LineaA:1073,8,188
LineaA:1073,9,193
LineaA:1073,10,224
LineaA:1073,11,249
LineaA:1073,12,316
LineaA:1073,13,365
LineaA:1073,14,382
LineaA:1073,15,499
LineaA:1073,16,565
LineaA:1073,17,676
LineaA:1073,18,571
LineaA:1073,19,251
LineaA:1073,20,207
LineaA:1073,21,170
LineaA:1073,22,170
LineaA:1073,23,18
LineaA:1074,5,7
LineaA:1074,6,21
LineaA:1074,7,60
LineaA:1074,8,58
LineaA:1074,9,96
LineaA:1074,10,98
LineaA:1074,11,158
LineaA:1074,12,189
LineaA:1074,13,212
LineaA:1074,14,284
LineaA:1074,15,426
LineaA:1074,16,439
LineaA:1074,17,694
LineaA:1074,18,522
LineaA:1074,19,201
LineaA:1074,20,155
LineaA:1074,21,73
LineaA:1074,22,30
LineaA:1074,23,13
LineaA:1075,5,7
LineaA:1075,6,33
LineaA:1075,7,58
LineaA:1075,8,95
LineaA:1075,9,137
LineaA:1075,10,194
LineaA:1075,11,282
LineaA:1075,12,328
LineaA:1075,13,411
LineaA:1075,14,488
LineaA:1075,15,849
LineaA:1075,16,1021
LineaA:1075,17,1242
LineaA:1075,18,927
LineaA:1075,19,494
LineaA:1075,20,320
LineaA:1075,21,127
LineaA:1075,22,44
LineaA:1075,23,7
LineaA:1076,5,45
LineaA:1076,6,181
LineaA:1076,7,406
LineaA:1076,8,492
LineaA:1076,9,562
LineaA:1076,10,541
LineaA:1076,11,550
LineaA:1076,12,651
LineaA:1076,13,751
LineaA:1076,14,872
LineaA:1076,15,1253
LineaA:1076,16,1891
LineaA:1076,17,2758
LineaA:1076,18,1856
LineaA:1076,19,660
LineaA:1076,20,466
LineaA:1076,21,263
LineaA:1076,22,111
LineaA:1076,23,22
LineaB:1077,5,191
LineaB:1077,6,1235
LineaB:1077,7,3223
LineaB:1077,8,3753
LineaB:1077,9,2172
LineaB:1077,10,1203
LineaB:1077,11,1049
LineaB:1077,12,1208
LineaB:1077,13,1197
LineaB:1077,14,1007
LineaB:1077,15,809
LineaB:1077,16,1231
LineaB:1077,17,1445
LineaB:1077,18,1038
LineaB:1077,19,709
LineaB:1077,20,559
LineaB:1077,21,219
LineaB:1077,22,157
LineaB:1077,23,4
LineaB:1078,5,15
LineaB:1078,6,180
LineaB:1078,7,619
LineaB:1078,8,809
LineaB:1078,9,478
LineaB:1078,10,245
LineaB:1078,11,210
LineaB:1078,12,225
LineaB:1078,13,259
LineaB:1078,14,156
LineaB:1078,15,208
LineaB:1078,16,273
LineaB:1078,17,322
LineaB:1078,18,261
LineaB:1078,19,162
LineaB:1078,20,99
LineaB:1078,21,76
