comp_origen,comp_destino,rango_horario,etapas,expandidas,expandidas_completas
LineaA:1059,LineaA:1071,6,21,26.288532110091744,25.03669724770642
LineaA:1059,LineaA:1071,7,66,80.74808013355594,80.74808013355594
LineaA:1059,LineaA:1071,8,71,85.7017225277576,85.7017225277576
LineaA:1059,LineaA:1071,9,47,57.75582547767765,57.75582547767765
LineaA:1059,LineaA:1071,10,33,41.328197704477304,41.328197704477304
LineaA:1059,LineaA:1071,11,24,30.058546571136123,30.058546571136123
LineaA:1059,LineaA:1071,12,31,38.760574754253575,37.51023363314862
LineaA:1059,LineaA:1071,13,26,32.665046106692735,30.152350252331757
LineaA:1059,LineaA:1071,14,10,12.491664413805532,12.491664413805532
LineaA:1059,LineaA:1071,15,19,23.84357186414614,21.333722194236017
LineaA:1059,LineaA:1071,16,11,13.842243309521272,13.842243309521272
LineaA:1059,LineaA:1071,17,9,11.280770695564865,10.027351729390992
LineaA:1059,LineaA:1071,18,13,16.439209095813105,15.174654549981327
LineaA:1059,LineaA:1071,19,9,12.13559190634933,10.787192805643848
LineaA:1059,LineaA:1071,20,7,9.746076480990276,8.353779840848807
LineaA:1059,LineaA:1071,21,1,1.427680478428022,1.427680478428022
LineaA:1059,LineaA:1071,22,1,1.4263226225251542,1.4263226225251542
LineaA:1059,LineaA:1072,5,2,2.521232876712329,1.2606164383561644
LineaA:1059,LineaA:1072,6,9,11.26651376146789,11.26651376146789
LineaA:1059,LineaA:1072,7,45,55.05550918196996,53.83205342237063
LineaA:1059,LineaA:1072,8,38,45.86852755006745,45.86852755006745
LineaA:1059,LineaA:1072,9,30,36.865420517666585,35.6365731670777
LineaA:1059,LineaA:1072,10,14,17.533174783717644,17.533174783717644
LineaA:1059,LineaA:1072,11,20,25.048788809280104,25.048788809280104
LineaA:1059,LineaA:1072,12,15,18.75511681657431,18.75511681657431
LineaA:1059,LineaA:1072,13,7,8.794435490263428,8.794435490263428
LineaA:1059,LineaA:1072,14,5,6.245832206902766,6.245832206902766
LineaA:1059,LineaA:1072,15,6,7.52954900973036,7.52954900973036
LineaA:1059,LineaA:1072,16,9,11.325471798699223,10.067086043288198
LineaA:1059,LineaA:1072,17,10,12.53418966173874,12.53418966173874
LineaA:1059,LineaA:1072,18,4,5.058218183327109,5.058218183327109
LineaA:1059,LineaA:1072,19,3,4.045197302116443,4.045197302116443
LineaA:1059,LineaA:1072,20,5,6.961483200707339,6.961483200707339
LineaA:1059,LineaA:1072,21,2,2.855360956856044,2.855360956856044
LineaA:1059,LineaA:1074,6,12,15.022018348623853,15.022018348623853
LineaA:1059,LineaA:1074,7,59,72.18388981636062,72.18388981636062
LineaA:1059,LineaA:1074,8,51,61.56039223824841,61.56039223824841
LineaA:1059,LineaA:1074,9,28,34.407725816488814,34.407725816488814
LineaA:1059,LineaA:1074,10,12,15.028435528900836,13.776065901492434
LineaA:1059,LineaA:1074,11,4,5.0097577618560205,5.0097577618560205
LineaA:1059,LineaA:1074,12,8,10.002728968839632,8.752387847734678
LineaA:1059,LineaA:1074,13,7,8.794435490263428,8.794435490263428
LineaA:1059,LineaA:1074,14,5,6.245832206902766,4.996665765522213
LineaA:1059,LineaA:1074,15,6,7.52954900973036,6.274624174775299
LineaA:1059,LineaA:1074,16,2,2.5167715108220494,2.5167715108220494
LineaA:1059,LineaA:1074,17,3,3.7602568985216216,3.7602568985216216
LineaA:1059,LineaA:1074,18,3,3.7936636374953316,3.7936636374953316
LineaA:1059,LineaA:1074,19,2,2.696798201410962,2.696798201410962
LineaA:1059,LineaA:1074,20,1,1.3922966401414678,1.3922966401414678
LineaA:1059,LineaA:1074,21,1,1.427680478428022,1.427680478428022
LineaA:1059,LineaA:1074,22,1,1.4263226225251542,1.4263226225251542
LineaA:1059,LineaA:1076,5,5,6.303082191780822,3.7818493150684933
LineaA:1059,LineaA:1076,6,34,42.56238532110092,41.310550458715596
LineaA:1059,LineaA:1076,7,130,159.04924874791323,157.8257929883139
LineaA:1059,LineaA:1076,8,198,238.9991698661409,236.58503683719
LineaA:1059,LineaA:1076,9,114,140.088597967133,140.088597967133
LineaA:1059,LineaA:1076,10,32,40.0758280770689,38.82345844966049
LineaA:1059,LineaA:1076,11,20,25.048788809280104,25.048788809280104
LineaA:1059,LineaA:1076,12,20,25.00682242209908,25.00682242209908
LineaA:1059,LineaA:1076,13,19,23.870610616429307,23.870610616429307
LineaA:1059,LineaA:1076,14,19,23.734162386230512,23.734162386230512
LineaA:1059,LineaA:1076,15,8,10.03939867964048,10.03939867964048
LineaA:1059,LineaA:1076,16,11,13.842243309521272,12.583857554110248
LineaA:1059,LineaA:1076,17,14,17.547865526434236,17.547865526434236
LineaA:1059,LineaA:1076,18,7,8.851881820822442,7.587327274990663
LineaA:1059,LineaA:1076,19,2,2.696798201410962,2.696798201410962
LineaA:1059,LineaA:1076,20,4,5.569186560565871,4.176889920424403
LineaA:1059,LineaA:1076,21,5,7.13840239214011,4.283041435284066
LineaA:1059,LineaB:1077,6,1,1.251834862385321,1.251834862385321
