periodo,origen,destino,viajes
hpt,LineaA:1064,LineaB:1090,4.0
hpt,LineaA:1064,LineaB:1091,6.0
hpt,LineaA:1064,LineaB:1092,1.0
hpt,LineaA:1064,LineaC:1094,90.0
hpt,LineaA:1064,LineaC:1095,6.0
hpt,LineaA:1064,LineaC:1096,8.0
hpt,LineaA:1064,LineaC:1098,6.0
hpt,LineaA:1064,LineaC:1099,2.0
hpt,LineaA:1064,LineaC:1100,6.0
hpt,LineaA:1064,LineaC:1101,3.0
hpt,LineaA:1064,LineaC:1102,11.0
hpt,LineaA:1064,LineaD:1103,9.0
hpt,LineaA:1064,LineaD:1104,3.0
hpt,LineaA:1064,LineaD:1105,3.0
hpt,LineaA:1064,LineaD:1106,1.0
hpt,LineaA:1064,LineaD:1107,1.0
hpt,LineaA:1064,LineaD:1108,2.0
hpt,LineaA:1064,LineaD:1109,4.0
hpt,LineaA:1064,LineaD:1110,2.0
hpt,LineaA:1064,LineaD:1111,5.0
hpt,LineaA:1064,LineaD:1114,3.0
hpt,LineaA:1064,LineaD:1115,4.0
